windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,AUD=,0.8096,0.8096,0.8085,0.8088
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,AUD=,0.8087,0.8095,0.8084,0.8094
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,AUD=,0.8095,0.8098,0.8077,0.8085
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,AUD=,0.8085,0.809,0.8075,0.8086
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,AUD=,0.8086,0.8093,0.8078,0.8088
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,AUD=,0.8089,0.8105,0.8085,0.8096
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,AUD=,0.8096,0.8097,0.8088,0.8096
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,AUD=,0.8096,0.8101,0.8079,0.8087
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,AUD=,0.8087,0.8096,0.8083,0.8092
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,AUD=,0.8092,0.8094,0.8081,0.8089
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,AUD=,0.8091,0.8101,0.8086,0.8095
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,AUD=,0.8095,0.8096,0.8072,0.8088
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,AUD=,0.8088,0.8094,0.8083,0.8093
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,AUD=,0.8093,0.8096,0.8087,0.8091
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,AUD=,0.8088,0.8102,0.8088,0.81
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,AUD=,0.8101,0.8102,0.809,0.8094
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,AUD=,0.8094,0.8095,0.8088,0.8092
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T22:00:00.000000000Z,AUD=,0.8092,0.8099,0.8086,0.809
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T23:00:00.000000000Z,AUD=,0.8091,0.8099,0.8087,0.8095
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,AUD=,0.8094,0.81,0.8086,0.8092
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T01:00:00.000000000Z,AUD=,0.8091,0.8099,0.8084,0.8095
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T02:00:00.000000000Z,AUD=,0.8094,0.8097,0.8068,0.8078
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T03:00:00.000000000Z,AUD=,0.8078,0.8089,0.8073,0.8083
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T04:00:00.000000000Z,AUD=,0.8084,0.8088,0.8066,0.807
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T05:00:00.000000000Z,AUD=,0.8069,0.8075,0.806,0.8064
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T06:00:00.000000000Z,AUD=,0.8064,0.8075,0.8059,0.806
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T07:00:00.000000000Z,AUD=,0.806,0.8062,0.804,0.8044
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T08:00:00.000000000Z,AUD=,0.8042,0.8063,0.8042,0.806
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T09:00:00.000000000Z,AUD=,0.806,0.809,0.8058,0.8083
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T10:00:00.000000000Z,AUD=,0.8085,0.8097,0.8082,0.8094
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T11:00:00.000000000Z,AUD=,0.8094,0.8111,0.809,0.8103
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T12:00:00.000000000Z,AUD=,0.8104,0.8105,0.8089,0.8097
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T13:00:00.000000000Z,AUD=,0.8097,0.8107,0.8088,0.8106
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T14:00:00.000000000Z,AUD=,0.8106,0.8113,0.8088,0.8093
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T15:00:00.000000000Z,AUD=,0.8091,0.8093,0.8078,0.8085
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T16:00:00.000000000Z,AUD=,0.8085,0.8092,0.807,0.8076
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T17:00:00.000000000Z,AUD=,0.8075,0.8082,0.807,0.8079
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T18:00:00.000000000Z,AUD=,0.8078,0.808,0.8069,0.8075
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T19:00:00.000000000Z,AUD=,0.8076,0.8085,0.8073,0.8085
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T20:00:00.000000000Z,AUD=,0.8084,0.8085,0.8075,0.8076
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T21:00:00.000000000Z,AUD=,0.8076,0.8086,0.8074,0.8082
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T22:00:00.000000000Z,AUD=,0.8082,0.8087,0.8078,0.8085
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T23:00:00.000000000Z,AUD=,0.8085,0.8104,0.8081,0.8099
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T00:00:00.000000000Z,AUD=,0.8099,0.8103,0.8053,0.8067
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T01:00:00.000000000Z,AUD=,0.8065,0.8077,0.8054,0.8066
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T02:00:00.000000000Z,AUD=,0.8066,0.8066,0.8044,0.8059
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T03:00:00.000000000Z,AUD=,0.8058,0.8082,0.8056,0.8074
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T04:00:00.000000000Z,AUD=,0.8074,0.8082,0.8069,0.8071
windowTimestamp,assetCode,Open,High,Low,Last
