windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,AUDJPY=,88.06,88.06,87.97,87.99
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,AUDJPY=,87.99,88.08,87.99,88.05
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,AUDJPY=,88.04,88.13,88.04,88.08
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,AUDJPY=,88.09,88.1,88.0,88.04
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,AUDJPY=,88.04,88.12,87.99,88.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,AUDJPY=,87.99,88.08,87.96,88.03
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,AUDJPY=,88.02,88.03,87.98,88.02
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,AUDJPY=,88.0,88.04,87.94,88.04
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,AUDJPY=,88.03,88.09,87.97,88.02
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,AUDJPY=,88.01,88.1,87.96,88.06
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,AUDJPY=,88.06,88.27,88.0,88.26
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,AUDJPY=,88.26,88.27,88.13,88.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,AUDJPY=,88.27,88.33,88.25,88.29
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,AUDJPY=,88.28,88.3,88.22,88.24
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,AUDJPY=,88.23,88.29,88.2,88.26
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,AUDJPY=,88.25,88.26,88.15,88.19
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,AUDJPY=,88.17,88.22,88.17,88.2
windowTimestamp,assetCode,Open,High,Low,Last
