windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,CADJPY=,88.19,88.19,88.14,88.18
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,CADJPY=,88.18,88.23,88.14,88.18
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,CADJPY=,88.16,88.3,88.14,88.22
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,CADJPY=,88.24,88.25,88.12,88.13
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,CADJPY=,88.15,88.23,88.02,88.03
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,CADJPY=,88.02,88.07,87.96,88.07
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,CADJPY=,88.05,88.14,88.03,88.08
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,CADJPY=,88.06,88.19,88.03,88.18
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,CADJPY=,88.18,88.24,88.08,88.15
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,CADJPY=,88.18,88.23,88.05,88.19
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,CADJPY=,88.19,88.42,88.12,88.42
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,CADJPY=,88.38,88.48,88.3,88.44
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,CADJPY=,88.43,88.49,88.4,88.43
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,CADJPY=,88.44,88.48,88.38,88.39
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,CADJPY=,88.4,88.44,88.35,88.4
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,CADJPY=,88.41,88.43,88.32,88.35
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,CADJPY=,88.3,88.36,88.28,88.28
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T22:00:00.000000000Z,CADJPY=,88.27,88.36,88.26,88.32
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T23:00:00.000000000Z,CADJPY=,88.32,88.34,88.27,88.31
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,CADJPY=,88.32,88.37,88.24,88.24
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T01:00:00.000000000Z,CADJPY=,88.25,88.25,88.16,88.22
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T02:00:00.000000000Z,CADJPY=,88.22,88.37,88.22,88.32
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T03:00:00.000000000Z,CADJPY=,88.31,88.32,88.11,88.11
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T04:00:00.000000000Z,CADJPY=,88.12,88.14,87.97,88.03
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T05:00:00.000000000Z,CADJPY=,88.03,88.08,87.93,87.93
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T06:00:00.000000000Z,CADJPY=,87.91,87.99,87.88,87.97
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T07:00:00.000000000Z,CADJPY=,87.97,87.97,87.83,87.87
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T08:00:00.000000000Z,CADJPY=,87.83,87.97,87.77,87.95
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T09:00:00.000000000Z,CADJPY=,87.96,88.16,87.9,88.13
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T10:00:00.000000000Z,CADJPY=,88.12,88.23,88.06,88.12
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T11:00:00.000000000Z,CADJPY=,88.08,88.2,88.03,88.17
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T12:00:00.000000000Z,CADJPY=,88.2,88.2,88.07,88.19
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T13:00:00.000000000Z,CADJPY=,88.17,88.31,88.1,88.12
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T14:00:00.000000000Z,CADJPY=,88.15,88.16,87.9,88.02
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T15:00:00.000000000Z,CADJPY=,88.02,88.29,87.9,88.26
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T16:00:00.000000000Z,CADJPY=,88.28,88.28,88.13,88.19
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T17:00:00.000000000Z,CADJPY=,88.21,88.29,88.19,88.26
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T18:00:00.000000000Z,CADJPY=,88.27,88.29,88.17,88.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T19:00:00.000000000Z,CADJPY=,88.28,88.29,88.2,88.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T20:00:00.000000000Z,CADJPY=,88.26,88.33,88.23,88.3
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T21:00:00.000000000Z,CADJPY=,88.27,88.27,88.16,88.16
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T22:00:00.000000000Z,CADJPY=,88.16,88.22,88.12,88.16
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T23:00:00.000000000Z,CADJPY=,88.16,88.18,88.12,88.15
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T00:00:00.000000000Z,CADJPY=,88.15,88.33,88.15,88.21
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T01:00:00.000000000Z,CADJPY=,88.23,88.38,88.18,88.22
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T02:00:00.000000000Z,CADJPY=,88.22,88.35,88.2,88.33
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T03:00:00.000000000Z,CADJPY=,88.33,88.42,88.33,88.4
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T04:00:00.000000000Z,CADJPY=,88.4,88.4,88.33,88.35
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T05:00:00.000000000Z,CADJPY=,88.35,88.38,88.26,88.31
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T06:00:00.000000000Z,CADJPY=,88.3,88.36,88.27,88.32
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T07:00:00.000000000Z,CADJPY=,88.34,88.5,88.31,88.46
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T08:00:00.000000000Z,CADJPY=,88.43,88.51,88.39,88.47
