windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,ESc1,2874.25,2874.25,2871.75,2872.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,ESc1,2872.5,2874.0,2871.5,2873.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,ESc1,2873.5,2874.75,2873.0,2873.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,ESc1,2873.25,2873.5,2868.0,2868.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,ESc1,2868.25,2871.5,2864.5,2865.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,ESc1,2864.75,2867.75,2864.0,2867.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,ESc1,2867.75,2868.5,2865.0,2868.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,ESc1,2868.25,2868.5,2865.0,2867.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,ESc1,2867.0,2869.0,2865.0,2865.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,ESc1,2865.25,2871.25,2863.5,2869.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,ESc1,2869.5,2869.75,2855.75,2859.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,ESc1,2859.0,2865.5,2854.5,2861.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,ESc1,2861.25,2866.5,2859.0,2865.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,ESc1,2866.0,2868.25,2863.5,2864.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,ESc1,2864.25,2866.25,2859.25,2862.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,ESc1,2862.75,2864.0,2851.5,2853.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T22:00:00.000000000Z,ESc1,2853.0,2856.25,2852.0,2853.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T23:00:00.000000000Z,ESc1,2853.25,2857.25,2853.25,2857.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,ESc1,2856.75,2858.0,2853.75,2854.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T01:00:00.000000000Z,ESc1,2854.25,2854.25,2850.25,2853.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T02:00:00.000000000Z,ESc1,2852.75,2855.0,2852.75,2854.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T03:00:00.000000000Z,ESc1,2854.25,2854.75,2838.25,2840.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T04:00:00.000000000Z,ESc1,2841.0,2843.5,2831.0,2839.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T05:00:00.000000000Z,ESc1,2839.25,2840.5,2836.75,2837.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T06:00:00.000000000Z,ESc1,2837.5,2844.0,2837.5,2843.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T07:00:00.000000000Z,ESc1,2844.0,2844.75,2837.5,2839.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T08:00:00.000000000Z,ESc1,2839.5,2845.25,2839.25,2841.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T09:00:00.000000000Z,ESc1,2841.5,2845.5,2840.25,2845.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T10:00:00.000000000Z,ESc1,2845.25,2845.75,2841.0,2841.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T11:00:00.000000000Z,ESc1,2841.25,2843.25,2840.25,2840.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T12:00:00.000000000Z,ESc1,2840.75,2841.5,2835.75,2839.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T13:00:00.000000000Z,ESc1,2839.75,2842.75,2834.5,2834.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T14:00:00.000000000Z,ESc1,2834.75,2839.5,2825.75,2826.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T15:00:00.000000000Z,ESc1,2826.5,2835.25,2818.5,2834.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T16:00:00.000000000Z,ESc1,2834.0,2837.0,2825.75,2826.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T17:00:00.000000000Z,ESc1,2826.5,2829.25,2823.25,2825.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T18:00:00.000000000Z,ESc1,2825.75,2829.75,2820.5,2828.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T19:00:00.000000000Z,ESc1,2828.0,2832.25,2822.0,2823.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T20:00:00.000000000Z,ESc1,2823.5,2831.75,2822.0,2823.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T22:00:00.000000000Z,ESc1,2823.5,2827.75,2821.5,2823.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T23:00:00.000000000Z,ESc1,2823.25,2826.0,2822.5,2824.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T00:00:00.000000000Z,ESc1,2824.25,2828.0,2823.75,2824.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T01:00:00.000000000Z,ESc1,2823.75,2829.75,2823.75,2829.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T02:00:00.000000000Z,ESc1,2828.75,2830.25,2825.0,2829.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T03:00:00.000000000Z,ESc1,2829.25,2835.5,2828.75,2834.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T04:00:00.000000000Z,ESc1,2834.25,2834.5,2831.5,2832.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T05:00:00.000000000Z,ESc1,2832.75,2833.5,2826.25,2826.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T06:00:00.000000000Z,ESc1,2826.5,2829.25,2825.25,2828.75
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T07:00:00.000000000Z,ESc1,2828.5,2833.75,2828.0,2832.75
windowTimestamp,assetCode,Open,High,Low,Last
