windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,EURJPY=,135.04,135.05,134.93,135.04
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,EURJPY=,135.05,135.18,135.0,135.03
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,EURJPY=,135.03,135.33,135.02,135.09
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,EURJPY=,135.09,135.15,134.93,135.06
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,EURJPY=,135.08,135.18,134.97,135.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,EURJPY=,135.01,135.07,134.84,134.85
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,EURJPY=,134.84,134.87,134.71,134.73
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,EURJPY=,134.72,134.83,134.64,134.82
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,EURJPY=,134.8,134.88,134.46,134.49
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,EURJPY=,134.48,134.57,134.31,134.42
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,EURJPY=,134.42,134.81,134.38,134.69
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,EURJPY=,134.69,134.9,134.62,134.78
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,EURJPY=,134.78,134.99,134.7,134.96
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,EURJPY=,134.94,135.01,134.89,134.96
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,EURJPY=,134.96,135.0,134.89,134.95
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,EURJPY=,134.95,135.01,134.86,134.88
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,EURJPY=,134.88,134.96,134.87,134.91
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T22:00:00.000000000Z,EURJPY=,134.91,134.96,134.85,134.95
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T23:00:00.000000000Z,EURJPY=,134.94,134.96,134.83,134.87
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,EURJPY=,134.87,134.92,134.74,134.82
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T01:00:00.000000000Z,EURJPY=,134.82,134.84,134.7,134.8
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T02:00:00.000000000Z,EURJPY=,134.81,134.99,134.76,134.92
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T03:00:00.000000000Z,EURJPY=,134.92,134.94,134.65,134.66
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T04:00:00.000000000Z,EURJPY=,134.66,134.71,134.48,134.55
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T05:00:00.000000000Z,EURJPY=,134.53,134.62,134.36,134.36
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T06:00:00.000000000Z,EURJPY=,134.36,134.39,134.24,134.35
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T07:00:00.000000000Z,EURJPY=,134.35,134.51,134.24,134.35
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T08:00:00.000000000Z,EURJPY=,134.38,134.56,134.12,134.56
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T09:00:00.000000000Z,EURJPY=,134.56,134.76,134.45,134.7
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T10:00:00.000000000Z,EURJPY=,134.69,134.94,134.64,134.79
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T11:00:00.000000000Z,EURJPY=,134.78,135.12,134.69,135.09
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T12:00:00.000000000Z,EURJPY=,135.08,135.1,134.89,135.01
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T13:00:00.000000000Z,EURJPY=,135.01,135.2,134.77,135.1
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T14:00:00.000000000Z,EURJPY=,135.11,135.16,134.86,135.05
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T15:00:00.000000000Z,EURJPY=,135.03,135.1,134.85,135.03
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T16:00:00.000000000Z,EURJPY=,135.04,135.08,134.81,134.89
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T17:00:00.000000000Z,EURJPY=,134.88,135.04,134.85,134.99
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T18:00:00.000000000Z,EURJPY=,134.99,135.01,134.72,134.86
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T19:00:00.000000000Z,EURJPY=,134.86,134.93,134.79,134.92
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T20:00:00.000000000Z,EURJPY=,134.93,134.97,134.87,134.88
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T21:00:00.000000000Z,EURJPY=,134.89,134.96,134.85,134.89
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T22:00:00.000000000Z,EURJPY=,134.89,134.97,134.81,134.92
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T23:00:00.000000000Z,EURJPY=,134.91,134.98,134.83,134.91
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T00:00:00.000000000Z,EURJPY=,134.92,135.25,134.9,135.08
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T01:00:00.000000000Z,EURJPY=,135.08,135.33,134.98,135.05
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T02:00:00.000000000Z,EURJPY=,135.06,135.3,135.0,135.21
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T03:00:00.000000000Z,EURJPY=,135.21,135.32,135.19,135.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T04:00:00.000000000Z,EURJPY=,135.25,135.28,135.15,135.17
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T05:00:00.000000000Z,EURJPY=,135.17,135.24,135.1,135.17
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T06:00:00.000000000Z,EURJPY=,135.17,135.29,135.11,135.22
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T07:00:00.000000000Z,EURJPY=,135.22,135.35,135.17,135.24
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T08:00:00.000000000Z,EURJPY=,135.25,135.33,135.15,135.25
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T09:00:00.000000000Z,EURJPY=,135.25,135.4,135.2,135.35
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T10:00:00.000000000Z,EURJPY=,135.36,135.46,135.28,135.4
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T11:00:00.000000000Z,EURJPY=,135.4,135.49,135.38,135.45
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T12:00:00.000000000Z,EURJPY=,135.46,135.65,135.39,135.6
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T13:00:00.000000000Z,EURJPY=,135.62,135.79,135.55,135.77
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T14:00:00.000000000Z,EURJPY=,135.77,135.77,135.56,135.68
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T15:00:00.000000000Z,EURJPY=,135.69,136.03,135.64,135.98
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T16:00:00.000000000Z,EURJPY=,135.97,136.04,135.78,135.83
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T17:00:00.000000000Z,EURJPY=,135.83,135.91,135.64,135.77
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T18:00:00.000000000Z,EURJPY=,135.76,135.77,135.59,135.64
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T19:00:00.000000000Z,EURJPY=,135.65,135.74,135.38,135.41
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T20:00:00.000000000Z,EURJPY=,135.38,135.53,135.37,135.51
windowTimestamp,assetCode,Open,High,Low,Last
