windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,GBPJPY=,153.79,153.81,153.67,153.74
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,GBPJPY=,153.74,153.88,153.64,153.69
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,GBPJPY=,153.68,154.01,153.66,153.87
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,GBPJPY=,153.89,153.96,153.63,153.77
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,GBPJPY=,153.79,153.89,153.43,153.45
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,GBPJPY=,153.45,153.51,153.14,153.17
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,GBPJPY=,153.17,153.21,152.81,152.83
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,GBPJPY=,152.83,153.19,152.81,153.16
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,GBPJPY=,153.17,153.33,153.06,153.13
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,GBPJPY=,153.12,153.35,153.04,153.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,GBPJPY=,153.29,153.45,153.05,153.3
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,GBPJPY=,153.32,153.34,153.07,153.23
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,GBPJPY=,153.21,153.5,153.17,153.46
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,GBPJPY=,153.46,153.5,153.3,153.36
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,GBPJPY=,153.36,153.39,153.25,153.34
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,GBPJPY=,153.36,153.41,153.23,153.31
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,GBPJPY=,153.3,153.38,153.29,153.31
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T22:00:00.000000000Z,GBPJPY=,153.31,153.38,153.25,153.36
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T23:00:00.000000000Z,GBPJPY=,153.34,153.38,153.27,153.29
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,GBPJPY=,153.3,153.36,153.12,153.21
