windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,LCOc1,70.4,70.45,70.4,70.41
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,LCOc1,70.43,70.45,70.38,70.44
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,LCOc1,70.45,70.45,70.28,70.4
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,LCOc1,70.39,70.47,70.24,70.34
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,LCOc1,70.33,70.35,70.13,70.16
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,LCOc1,70.15,70.2,70.03,70.03
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,LCOc1,70.02,70.06,69.84,70.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,LCOc1,69.99,70.03,69.78,69.86
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,LCOc1,69.85,69.87,69.71,69.73
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,LCOc1,69.73,69.84,69.45,69.66
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,LCOc1,69.65,69.82,69.4,69.62
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,LCOc1,69.61,69.63,69.07,69.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,LCOc1,69.26,69.57,69.25,69.42
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,LCOc1,69.41,69.47,69.29,69.29
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,LCOc1,69.29,69.55,69.25,69.43
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,LCOc1,69.44,69.45,69.33,69.35
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,LCOc1,69.35,69.44,69.34,69.42
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,LCOc1,69.42,69.47,69.41,69.41
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T01:00:00.000000000Z,LCOc1,69.3,69.35,69.27,69.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T02:00:00.000000000Z,LCOc1,69.27,69.29,69.21,69.21
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T03:00:00.000000000Z,LCOc1,69.2,69.2,69.08,69.11
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T04:00:00.000000000Z,LCOc1,69.09,69.16,68.91,68.93
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T05:00:00.000000000Z,LCOc1,68.92,69.01,68.91,68.92
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T06:00:00.000000000Z,LCOc1,68.92,69.02,68.86,68.98
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T07:00:00.000000000Z,LCOc1,68.98,69.06,68.93,69.0
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T08:00:00.000000000Z,LCOc1,69.01,69.09,68.75,69.09
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T09:00:00.000000000Z,LCOc1,69.1,69.24,68.9,69.24
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T10:00:00.000000000Z,LCOc1,69.22,69.39,69.15,69.32
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T11:00:00.000000000Z,LCOc1,69.31,69.35,69.07,69.19
