windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,NZD=,0.7337,0.7338,0.7328,0.733
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,NZD=,0.7328,0.7338,0.7327,0.7336
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,NZD=,0.7335,0.734,0.7316,0.7325
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,NZD=,0.7325,0.734,0.7323,0.7333
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,NZD=,0.7333,0.7335,0.732,0.7322
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,NZD=,0.7322,0.7339,0.732,0.7329
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,NZD=,0.7326,0.7339,0.7323,0.7337
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,NZD=,0.7336,0.7339,0.7323,0.7331
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,NZD=,0.7331,0.7338,0.7328,0.7332
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,NZD=,0.7334,0.7334,0.7319,0.7324
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,NZD=,0.7323,0.7328,0.7314,0.7315
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,NZD=,0.7315,0.7317,0.73,0.7306
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,NZD=,0.7306,0.7312,0.7303,0.7311
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,NZD=,0.7311,0.7319,0.7309,0.7318
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,NZD=,0.7318,0.7324,0.7313,0.7321
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,NZD=,0.7322,0.7323,0.7317,0.7319
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,NZD=,0.7318,0.7327,0.7313,0.732
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T22:00:00.000000000Z,NZD=,0.732,0.7325,0.7318,0.7318
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T23:00:00.000000000Z,NZD=,0.7318,0.7324,0.7316,0.7322
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,NZD=,0.7323,0.7329,0.7317,0.7322
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T01:00:00.000000000Z,NZD=,0.7322,0.7334,0.7317,0.7328
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T02:00:00.000000000Z,NZD=,0.7328,0.7336,0.7312,0.7315
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T03:00:00.000000000Z,NZD=,0.7315,0.7337,0.7314,0.7333
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T04:00:00.000000000Z,NZD=,0.7333,0.7337,0.7318,0.7319
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T05:00:00.000000000Z,NZD=,0.7319,0.7324,0.7315,0.7317
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T06:00:00.000000000Z,NZD=,0.7317,0.7326,0.7305,0.7308
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T07:00:00.000000000Z,NZD=,0.7308,0.7318,0.7277,0.7282
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T08:00:00.000000000Z,NZD=,0.7282,0.73,0.7279,0.7299
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T09:00:00.000000000Z,NZD=,0.7298,0.7329,0.7297,0.7321
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T10:00:00.000000000Z,NZD=,0.7321,0.7337,0.7319,0.7332
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T11:00:00.000000000Z,NZD=,0.7332,0.7348,0.7329,0.7342
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T12:00:00.000000000Z,NZD=,0.7341,0.7344,0.7328,0.7332
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T13:00:00.000000000Z,NZD=,0.7332,0.7353,0.7326,0.7349
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T14:00:00.000000000Z,NZD=,0.7348,0.7354,0.7331,0.7332
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T15:00:00.000000000Z,NZD=,0.7332,0.7345,0.733,0.7339
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T16:00:00.000000000Z,NZD=,0.7338,0.7346,0.7324,0.7331
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T17:00:00.000000000Z,NZD=,0.7331,0.7336,0.7328,0.7331
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T18:00:00.000000000Z,NZD=,0.7331,0.7333,0.7324,0.7329
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T19:00:00.000000000Z,NZD=,0.7329,0.7335,0.7327,0.7333
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T20:00:00.000000000Z,NZD=,0.7333,0.7336,0.7323,0.7323
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T21:00:00.000000000Z,NZD=,0.7324,0.733,0.7323,0.7329
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T22:00:00.000000000Z,NZD=,0.7329,0.733,0.7325,0.7328
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T23:00:00.000000000Z,NZD=,0.7328,0.7341,0.7327,0.7338
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T00:00:00.000000000Z,NZD=,0.7337,0.7357,0.7335,0.7346
