windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T05:00:00.000000000Z,NZDJPY=,79.81,79.81,79.72,79.74
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T06:00:00.000000000Z,NZDJPY=,79.74,79.83,79.74,79.8
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T07:00:00.000000000Z,NZDJPY=,79.8,79.88,79.78,79.81
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T08:00:00.000000000Z,NZDJPY=,79.81,79.93,79.78,79.85
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T09:00:00.000000000Z,NZDJPY=,79.85,79.87,79.66,79.67
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T10:00:00.000000000Z,NZDJPY=,79.66,79.75,79.62,79.68
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T11:00:00.000000000Z,NZDJPY=,79.68,79.77,79.65,79.77
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T12:00:00.000000000Z,NZDJPY=,79.76,79.81,79.67,79.81
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T13:00:00.000000000Z,NZDJPY=,79.8,79.85,79.75,79.77
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T14:00:00.000000000Z,NZDJPY=,79.77,79.77,79.65,79.73
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T15:00:00.000000000Z,NZDJPY=,79.72,79.84,79.67,79.77
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T16:00:00.000000000Z,NZDJPY=,79.76,79.78,79.68,79.74
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T17:00:00.000000000Z,NZDJPY=,79.74,79.78,79.72,79.77
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T18:00:00.000000000Z,NZDJPY=,79.76,79.81,79.74,79.81
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T19:00:00.000000000Z,NZDJPY=,79.81,79.81,79.71,79.78
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T20:00:00.000000000Z,NZDJPY=,79.78,79.79,79.72,79.74
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T21:00:00.000000000Z,NZDJPY=,79.73,79.82,79.7,79.78
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T22:00:00.000000000Z,NZDJPY=,79.78,79.83,79.78,79.78
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-29T23:00:00.000000000Z,NZDJPY=,79.77,79.81,79.71,79.79
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T00:00:00.000000000Z,NZDJPY=,79.78,79.86,79.73,79.79
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T01:00:00.000000000Z,NZDJPY=,79.78,79.81,79.67,79.78
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T02:00:00.000000000Z,NZDJPY=,79.78,79.89,79.78,79.82
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T03:00:00.000000000Z,NZDJPY=,79.82,79.85,79.76,79.8
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T04:00:00.000000000Z,NZDJPY=,79.8,79.81,79.59,79.62
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T05:00:00.000000000Z,NZDJPY=,79.62,79.67,79.54,79.54
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T06:00:00.000000000Z,NZDJPY=,79.54,79.64,79.47,79.55
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T07:00:00.000000000Z,NZDJPY=,79.54,79.54,79.19,79.22
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T08:00:00.000000000Z,NZDJPY=,79.21,79.34,79.16,79.33
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T09:00:00.000000000Z,NZDJPY=,79.33,79.49,79.32,79.49
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T10:00:00.000000000Z,NZDJPY=,79.57,79.72,79.55,79.62
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T11:00:00.000000000Z,NZDJPY=,79.62,79.73,79.58,79.72
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T12:00:00.000000000Z,NZDJPY=,79.74,79.74,79.63,79.69
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T13:00:00.000000000Z,NZDJPY=,79.69,79.85,79.62,79.81
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T14:00:00.000000000Z,NZDJPY=,79.8,79.82,79.6,79.6
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T15:00:00.000000000Z,NZDJPY=,79.6,79.91,79.56,79.87
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T16:00:00.000000000Z,NZDJPY=,79.88,79.93,79.76,79.83
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T17:00:00.000000000Z,NZDJPY=,79.84,79.85,79.76,79.8
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T18:00:00.000000000Z,NZDJPY=,79.8,79.8,79.72,79.76
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T19:00:00.000000000Z,NZDJPY=,79.76,79.78,79.73,79.78
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T20:00:00.000000000Z,NZDJPY=,79.77,79.81,79.75,79.76
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T21:00:00.000000000Z,NZDJPY=,79.74,79.76,79.69,79.73
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T22:00:00.000000000Z,NZDJPY=,79.72,79.76,79.69,79.71
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-30T23:00:00.000000000Z,NZDJPY=,79.72,79.82,79.72,79.81
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T00:00:00.000000000Z,NZDJPY=,79.81,80.09,79.79,79.92
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T01:00:00.000000000Z,NZDJPY=,79.92,80.23,79.92,80.06
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T02:00:00.000000000Z,NZDJPY=,80.07,80.24,79.99,80.18
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T03:00:00.000000000Z,NZDJPY=,80.19,80.39,80.19,80.35
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T04:00:00.000000000Z,NZDJPY=,80.34,80.37,80.26,80.27
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T05:00:00.000000000Z,NZDJPY=,80.28,80.33,80.21,80.31
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T06:00:00.000000000Z,NZDJPY=,80.3,80.34,80.2,80.3
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T07:00:00.000000000Z,NZDJPY=,80.3,80.42,80.22,80.33
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T08:00:00.000000000Z,NZDJPY=,80.33,80.34,80.25,80.29
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T09:00:00.000000000Z,NZDJPY=,80.29,80.38,80.26,80.38
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T10:00:00.000000000Z,NZDJPY=,80.38,80.54,80.38,80.53
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T11:00:00.000000000Z,NZDJPY=,80.53,80.57,80.49,80.55
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T12:00:00.000000000Z,NZDJPY=,80.54,80.71,80.54,80.69
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T13:00:00.000000000Z,NZDJPY=,80.7,80.82,80.6,80.78
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T14:00:00.000000000Z,NZDJPY=,80.78,80.78,80.62,80.68
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T15:00:00.000000000Z,NZDJPY=,80.68,80.91,80.64,80.8
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T16:00:00.000000000Z,NZDJPY=,80.8,80.81,80.57,80.59
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T17:00:00.000000000Z,NZDJPY=,80.57,80.64,80.48,80.53
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T18:00:00.000000000Z,NZDJPY=,80.53,80.58,80.51,80.55
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T19:00:00.000000000Z,NZDJPY=,80.56,80.56,80.24,80.29
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T20:00:00.000000000Z,NZDJPY=,80.28,80.44,80.24,80.41
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T21:00:00.000000000Z,NZDJPY=,80.42,80.47,80.38,80.4
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T22:00:00.000000000Z,NZDJPY=,80.39,80.5,80.38,80.47
windowTimestamp,assetCode,Open,High,Low,Last
2018-01-31T23:00:00.000000000Z,NZDJPY=,80.47,80.54,80.43,80.51
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T00:00:00.000000000Z,NZDJPY=,80.52,80.58,80.4,80.42
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T01:00:00.000000000Z,NZDJPY=,80.44,80.6,80.39,80.47
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T02:00:00.000000000Z,NZDJPY=,80.46,80.58,80.45,80.48
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T03:00:00.000000000Z,NZDJPY=,80.47,80.59,80.46,80.58
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T04:00:00.000000000Z,NZDJPY=,80.57,80.59,80.5,80.57
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T05:00:00.000000000Z,NZDJPY=,80.56,80.59,80.49,80.59
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T06:00:00.000000000Z,NZDJPY=,80.57,80.6,80.47,80.5
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T07:00:00.000000000Z,NZDJPY=,80.48,80.56,80.46,80.47
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T08:00:00.000000000Z,NZDJPY=,80.46,80.71,80.46,80.61
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T09:00:00.000000000Z,NZDJPY=,80.6,80.72,80.6,80.62
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T10:00:00.000000000Z,NZDJPY=,80.6,80.64,80.49,80.51
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T11:00:00.000000000Z,NZDJPY=,80.51,80.58,80.49,80.51
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T12:00:00.000000000Z,NZDJPY=,80.51,80.72,80.49,80.6
windowTimestamp,assetCode,Open,High,Low,Last
2018-02-01T13:00:00.000000000Z,NZDJPY=,80.6,80.64,80.52,80.55
windowTimestamp,assetCode,Open,High,Low,Last
